Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/0006,YING KING GUEST HOUSE,"9/F, May Wah Mansion,164-176 Johnston Road,Wan Chai, Hong Kong.",英京迎賓館,香港灣仔莊士敦道164-176號美華大廈9字樓,,,yingking1963@gmail.com
H/0009,SHERATON HONG KONG HOTEL & TOWERS,"20 Nathan Road,Tsim Sha Tsui,Kowloon.",香港喜來登酒店,九龍尖沙咀彌敦道20號,2369 1111,2739 8707,res.hongkong@sheraton.com
H/0011,KAM YIP VILLA,"1/F, 23-25 Ning Po Street,Yau Ma Tei, Kowloon.",金葉別墅,九龍油麻地寧波街23-25號1字樓,2780 9387,,
H/0013,MING CHU VILLA,"Flat A & B, 1/F,66A Un Chau Street,Sham Shui Po, Kowloon.",明珠賓館,九龍深水元州街66A號1字樓A&B室,2728 6343,2728 6343/2728 6344,
H/0015,WHOLE SUNSHINE INTERNATIONAL GUEST HOUSE,"Block A,4/F & 5/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",四季陽光國際賓館,九龍尖沙咀彌敦道40號重慶大廈A座4&5字樓,2366 5362,2721 3570,
H/0018,STANFORD HILLVIEW HOTEL,"13-17 Observatory Road,Tsim Sha Tsui,Kowloon.",仕德福山景酒店,九龍尖沙咀天文台道13-17號,2722 7822,2723 3718,hillview@stanfordhotel.com
H/0019,SUMMIT VIEW KOWLOON,"5 Man Fuk Road,Ho Man Tin, Kowloon.",峰景軒,九龍何文田文福道5號,2700 1688,2700 1699,summitview@yhk.com.hk
H/0020,THE HARBOURVIEW,"G/F, M/F, 1/F & 5/F-21/F,4 Harbour Road,Wan Chai, Hong Kong.",灣景國際,香港灣仔港灣道4號地下、閣樓、1字樓 & 5-21字樓,2802 0111,2802 9063,info@theharbourview.com.hk
H/0021,ROYAL PACIFIC HOTEL & TOWERS,"Block 1, Podium, 8/F-22/F &Block 7, 8/F-23/F, 33 Canton Road,China Hong Kong City, Tsim Sha Tsui, Kowloon.",皇家太平洋酒店,九龍尖沙咀廣東道33號中港城第1座平台、8-22字樓& 第7座8-23字樓,2736 1188,2736 1729,info@royalpacific.com.hk
H/0022,LANGHAM HOTEL HONG KONG,"8 Peking Road,Tsim Sha Tsui,Kowloon.",香港朗廷酒店,九龍尖沙咀北京道8號,2375 1133,2375 7909,tlhkg.pr@langhamhotels.com
H/0034,HOLIDAY INN GOLDEN MILE,"50 Nathan Road, Tsim Sha Tsui, Kowloon.",金域假日酒店,九龍尖沙咀彌敦道50號,2369 3111,2722 1931,reserv@goldenmile.com
H/0036,KUNG-FU HOSTEL,"Flat C4 & Flat F4, Block C & F,3/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",KUNG-FU HOSTEL,九龍尖沙咀彌敦道58號美麗都大廈3字樓C座C4室& F座F4室,2311 1183,3583 2349,gardenhostel1@gmail.com
H/0038,HOI YEUNG VILLA,"1/F, Front Portion,250 Castle Peak Road,Cheung Sha Wan, Kowloon.",海洋賓館,九龍長沙灣青山道250號1字樓前座,69096181,,
H/0046,SHAMROCK HOTEL,"SHAMROCK HOTEL,223 Nathan Road, Yau Ma Tei,Kowloon.",新樂酒店,九龍油麻地彌敦道223號,2735 2271,2736 7354,info@shamrockhotel.com.hk
H/0049,THE MIRA HONG KONG,"118-130 Nathan Road,Tsim Sha Tsui, Kowloon.",THE MIRA HONG KONG,九龍尖沙咀彌敦道118-130號,2368 1111,2369 1788,info@themirahotel.com
H/0053,THE KOWLOON HOTEL,"19-21 Nathan Road,Tsim Sha Tsui, Kowloon.",九龍酒店,九龍尖沙咀彌敦道19-21號,2929 2888,2739 9811,klnh@harbour-plaza.com
H/0055,NEW WORLD MILLENNIUM HONG KONG HOTEL,"72 Mody Road,Tsim Sha Tsui East, Kowloon.",千禧新世界香港酒店,九龍尖沙咀東麼地道72號,2739 1111,2311 3122,info@newworldmillenniumhotel.com
H/0057,OASIS AVENUE A GDH HOTEL,"18 Prat Avenue,Tsim Sha Tsui, Kowloon.",OASIS AVENUE A GDH HOTEL,九龍尖沙咀寶勒巷18號,3410 8888,3410 8285,Hongkongm@gdhhotel.com
H/0063,NUTS HOTEL (JORDAN ROAD),"Flat A & B, 6/F, Lucky House,22 Jordan Road, Jordan,Kowloon.",諾士酒店(佐敦道),九龍佐敦佐敦道22號鴻運大樓6字樓A&B室,2377 2969,,
H/0068,DRAGON INTERNATIONAL TRAVEL SERVICE CENTRE,"Flat B3, 3/F, Block B,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",龍滙國際遊客服務中心,九龍尖沙咀彌敦道40號重慶大廈B座3字樓B3室,2368 2007,2724 2841,dragoninn1988@gmail.com
H/0070,FAI WONG SIU SHUK,"1/F,26-28 Mong Kok Road,Mong Kok, Kowloon.",輝煌小築,九龍旺角旺角道26-28號1字樓,2391 5393,,
H/0073,YMCA OF HONG KONG,"41 Salisbury Road,Tsim Sha Tsui, Kowloon.",香港基督教青年會賓館,九龍尖沙咀梳士巴利道41號,2268 7000,2311 5809,acct@ymcahk.org.hk
